"Título del producto","Título de variante de producto","SKU de variante de producto","Artículos netos vendidos","Ventas brutas","Descuentos","Reversiones de ventas","Ventas netas","Impuestos","Ventas totales"
"Hair Biolabs REDENSIFY™ Sérum de Triple Acción- Para la Caida en 14 dias","1 mes",,144,5880.5,-217.92,-34.9,5627.68,0,5627.68
"Sérum Anticaída de Doble Acción | Hair Biolabs™","1 mes",,127,5097,-62.86,-119.7,4914.44,0,4914.44
"Sérum Anticaída de Doble Acción | Hair Biolabs™","3 meses",,40,3693.84,-134.84,0,3559,0,3559
"Hair Biolabs REDENSIFY™ Sérum de Triple Acción- Para la Caida en 14 dias","2 meses",,41,2965.9,-131.81,0,2834.09,0,2834.09
"Hair Biolabs REDENSIFY™ Sérum de Triple Acción- Para la Caida en 14 dias","3 meses",,27,2517.3,-73.43,0,2443.87,0,2443.87
"Pack completo para fortalecer y recuperar el cabello","3 meses",,18,1978.2,-71.43,0,1906.77,0,1906.77
"Sérum Anticaída de Doble Acción | Hair Biolabs™","2 meses",,26,1957.3,-14.98,-59.9,1882.42,0,1882.42
"Serum Anticaída Hair Biolabs™","1 mes",,44,1980.6,-269.04,0,1711.56,0,1711.56
"Champú fortaleza y crecimiento","Default Title",,72,2250,-526.67,-69.7,1653.63,0,1653.63
"Serum Anticaída Hair Biolabs™","3 meses",,20,1668,-21.87,0,1646.13,0,1646.13
"Pack completo para fortalecer y recuperar el cabello","1 mes",,17,1188.3,-48.93,0,1139.37,0,1139.37
"Serum Anticaída Hair Biolabs™","2 meses",,15,988.5,-20.97,0,967.53,0,967.53
"Hair Biolabs™ | Sérum Anticaída de Doble Acción","3 meses",,6,539.4,0,0,539.4,0,539.4
"Hair Biolabs REDENSIFY™ Sérum de Triple Acción - Frena la Caida en 14 dias","1 mes",,15,573.5,-149.7,0,423.8,0,423.8
"Hair Biolabs™ | Sérum Anticaída de Doble Acción","1 mes",,6,244.4,0,0,244.4,0,244.4
"Estimula el folículo y potencia el crecimiento - Dermaroller Capilar Hair Biolabs","Default Title",,12,178.8,-36.66,0,142.14,0,142.14
"Hair Biolabs™  Sérum Anticaída de Doble Acción 1+1 GRATIS","2 sérum",,1,69.9,0,0,69.9,0,69.9
"Oferta Limitada Hair Biolabs REDENSIFY™ Sérum de Triple Acción - Para la Caída en 14 dias","1 mes",,1,49.9,0,0,49.9,0,49.9
"Hair Biolabs™  Prueba","1 mes",,1,39.9,0,0,39.9,0,39.9
"Serum Anticaída de Doble Acción | Hair Biolabs®","1 mes",,1,34.9,0,0,34.9,0,34.9
"Oferta Limitada | Sérum Anticaída de Doble Acción Hair Biolabs™","1 mes",,1,34.9,0,0,34.9,0,34.9
"Regalo Misterioso","Default Title",,177,1770,-1770,0,0,0,0
"Guía Cuidado Capilar GRATIS","Default Title",,221,4397.9,-4397.9,0,0,0,0
"Hair Biolabs REDENSIFY™ Sérum de Triple Acción - Frena la Caida en 14 dias","3 meses",,1,99.9,-99.9,0,0,0,0
